Data;PETR4_Var_Resposta;PETR4_Volume_Dia_Anterior;PETR4_Var_Abertura_Hoje_Dia_Anterior;PETR4_Var_Dia_Anterior;IBOV_Var_Dia_Anterior;DOW_JONES_Var_Dia_Anterior;Tx_Selic_Var_Dia_Anterior;Var_Cambio_Nominal_Dia_Anterior;Var_Petroleo_Brent_Dia_Anterior;Google_Buscas_Dia_Anterior;Google_Noticias_Dia_Anterior;Google_Gasolina_Dia_Anterior;PETR4_Var_Positiva_2_dias;PETR4_Var_Negativa_2_dias;PETR4_Var_Maior_1;IBOV_Var_Positiva_2_dias;IBOV_Var_Negativa_2_dias;DOW_JONES_Var_Positiva_2_dias;DOW_JONES_Var_Negativa_2_dias;Petroleo_Brent_Var_Positiva_2_dias;Petroleo_Brent_Var_Negativa_2_dias;Mes_Eleitoral;Mes_Pre_Eleitoral;Mes_Pos_Eleitoral
24/06/2009;0;19.32;0.24;0.41;318.78;-1;0;-0.05;1.82;77;50;0;0;0;0;0;0;0;1;0;0;0;0;0
25/06/2009;1;16.98;-0.15;-0.31;-141.46;158;0;-0.011;-0.47;94;0;0;0;0;0;0;0;0;1;0;0;0;0;0
26/06/2009;1;18.57;-0.19;0.97;1842.69;-41;0;-0.028;1.45;92;34;0;0;0;0;0;0;0;0;0;0;0;0;0
29/06/2009;1;16.5;0.27;0;-29.2;85;0;-0.007;-0.86;43;0;0;1;0;0;0;0;0;0;0;0;0;0;0
30/06/2009;0;14.45;0.11;0.62;651.97;-64;0;0.022;2.07;93;97;0;1;0;0;0;0;0;0;0;0;0;0;0
01/07/2009;0;18.24;0.36;-0.47;-672.12;54;0;-0.003;-1.69;143;44;60;0;0;0;0;0;0;0;0;0;0;0;0
02/07/2009;0;18.06;-0.31;-0.5;78.32;-207;0;-0.02;-0.51;64;45;56;0;1;0;0;0;0;0;0;1;0;0;0
03/07/2009;0;16.14;0.05;-0.43;-518.84;0;0;0.019;-2.14;33;57;80;0;1;0;0;0;0;0;0;1;0;0;0
06/07/2009;0;5.92;-0.32;-0.18;-90.25;36;0;-0.002;-1.04;70;44;0;0;1;0;0;1;0;0;0;1;0;0;0
07/07/2009;0;19.58;-0.01;-0.52;-312.22;-146;0;0.004;-1.56;114;0;0;0;1;0;0;1;1;0;0;1;0;0;0
08/07/2009;0;20.07;-0.28;-0.54;-1165.77;-15;0;0.038;-0.82;114;57;0;0;1;0;0;1;0;0;0;1;0;0;0
10/07/2009;1;21.66;0.14;-0.18;-279.15;-49;0;-0.013;0.67;65;0;0;0;1;0;0;1;0;0;0;0;0;0;0
13/07/2009;1;12.76;0.18;0.43;43.23;174;0;0.005;-0.58;89;32;0;0;0;0;0;0;0;0;0;0;0;0;0
14/07/2009;0;12.98;0.07;0.1;-33.85;45;0;-0.016;0.17;34;0;0;1;0;0;0;0;0;0;0;0;0;0;0
15/07/2009;1;17.88;0.44;-0.16;-314.35;239;0;-0.019;0.17;66;37;0;0;0;0;0;1;1;0;1;0;0;0;0
16/07/2009;1;20.53;-0.2;0.91;2424.08;126;0;-0.026;2.23;100;100;0;0;0;0;0;0;1;0;1;0;0;0;0
17/07/2009;1;15.62;0;0.15;621.54;28;0;-0.004;-0.34;0;47;0;1;0;0;1;0;1;0;0;0;0;0;0
20/07/2009;1;15.11;0.39;0.43;154.29;108;0;-0.005;2.63;35;0;0;1;0;0;1;0;1;0;0;0;0;0;0
21/07/2009;0;24.43;0.27;0.31;1082.44;81;0;-0.029;1.06;0;69;0;1;0;0;1;0;1;0;1;0;0;0;0
22/07/2009;0;19;-0.21;-0.06;78.64;-53;0;0;0.43;66;53;100;0;0;0;1;0;1;0;1;0;0;0;0
